Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Current Prices,..Sweet Potato,556.69,608.64,741.67,675.65,1165.34,1907.01,2582.67,651.97,761.75,725.24,684.04,1413.73,2138.97,2823.00,747.90,905.65,1004.06,832.56,1653.55,2657.61,3490.18,736.52,887.44,1027.48,878.95,1623.97,2651.45,3530.40,758.05,839.65,1091.44,991.48,1597.70,2689.14,3680.62,804.35,974.44,1295.98,1028.45,1778.78,3074.76,4103.21,1013.89,1076.08,1237.14,1163.53,2089.97,3327.11,4490.64,1084.98,1170.67,1265.15,1260.29,2255.65,3520.80,4781.10,1005.72,1384.17,1664.20,1286.57,2389.89,4054.08,5340.66,1097.68,1347.38,1498.08,1289.21,2445.05,3943.14,5232.35,1078.97,1447.35,1591.96,1320.01,2526.32,4118.28,5438.29,1183.56,1536.22,1727.60,1435.89,2719.77,4447.37,5883.27,1311.54,1644.12,1755.89,1430.21,2955.66,4711.55,6141.76,1345.64,1747.91,1834.22,1526.51,3093.56,4927.78,6454.29,1413.86,1918.27,2148.35,1680.02,3332.13,5480.48,7160.50,1502.54,2173.77,2297.27,1810.54,3676.32,5973.59,7784.13,1579.77,2173.90,2168.49,2015.56,3753.67,5922.16,7937.72,1722.80,2511.46,2181.00,2125.84,4234.26,6415.26,8541.10,1829.29,2530.14,2365.99,2233.60,4359.43,6725.42,8959.02,1880.65,2890.53,2684.05,2349.19,4771.18,7455.22,9804.41,2337.39,3511.03,3092.72,2904.17,5848.43,8941.15,11845.31,2385.50,3000.69,2953.62,3135.73,5386.18,8339.80,11475.53,2629.82,3740.32,3242.10,3418.99,6370.14,9612.24,13031.23,2695.09,4165.95,3844.41,4026.50,6861.04,10705.45,14731.95,2693.06,3830.63,4326.19,3736.72,6523.69,10849.89,14586.60,2536.32,4621.26,4223.47,2588.53,7157.58,11381.05,13969.58,2721.07,.,.,.,.,.,.
Current Prices,..Onion,360.53,624.12,5.63,321.27,984.65,990.27,1311.55,465.84,1233.92,3.26,205.79,1699.76,1703.02,1908.81,430.10,497.90,2.79,208.22,928.00,930.78,1139.00,492.71,867.46,2.42,294.52,1360.16,1362.59,1657.11,423.17,640.20,1.69,203.48,1063.37,1065.06,1268.54,678.32,846.24,2.41,379.45,1524.56,1526.97,1906.42,847.96,922.31,0.81,340.16,1770.27,1771.08,2111.24,770.89,1108.06,1.11,342.44,1878.95,1880.06,2222.51,1067.82,3527.53,3.69,698.24,4595.35,4599.04,5297.28,817.35,2151.41,1.15,602.78,2968.76,2969.90,3572.69,863.55,1163.68,1.58,545.70,2027.23,2028.81,2574.51,1417.05,2934.13,1.00,401.34,4351.18,4352.18,4753.52,726.99,2825.33,1.52,333.87,3552.32,3553.84,3887.71,973.13,1915.90,1.55,538.26,2889.03,2890.58,3428.84,2532.41,2102.74,1.36,251.81,4635.15,4636.51,4888.32,2467.09,942.72,1.15,272.55,3409.81,3410.96,3683.50,2758.55,1311.17,1.94,283.49,4069.71,4071.66,4355.14,3950.35,1200.16,1.61,295.51,5150.51,5152.11,5447.63,4996.00,1389.03,1.66,357.20,6385.03,6386.69,6743.89,5609.75,1371.70,0.99,528.43,6981.45,6982.43,7510.87,10153.65,2749.44,1.35,707.77,12903.08,12904.43,13612.20,7841.11,3400.84,1.17,503.99,11241.95,11243.12,11747.11,7878.70,4617.51,1.15,1953.34,12496.21,12497.35,14450.69,19402.22,8029.84,4.78,924.61,27432.06,27436.83,28361.44,13507.13,4059.05,6.63,519.17,17566.18,17572.81,18091.97,12575.79,4885.01,14.31,465.97,17460.81,17475.12,17941.08,9030.13,.,.,.,.,.,.
Current Prices,..Eggplant,503.08,554.10,309.85,321.46,1057.19,1367.03,1688.49,819.52,594.69,395.26,342.82,1414.21,1809.46,2152.28,644.49,573.85,500.53,311.38,1218.34,1718.86,2030.24,588.60,703.67,455.23,393.20,1292.27,1747.50,2140.70,766.81,776.72,314.32,432.05,1543.53,1857.85,2289.90,835.69,774.32,325.43,382.74,1610.01,1935.44,2318.18,1165.67,952.35,429.52,340.15,2118.03,2547.54,2887.69,962.52,1147.02,426.86,360.55,2109.54,2536.40,2896.95,1299.77,1545.19,478.49,407.38,2844.96,3323.45,3730.83,949.77,1564.10,608.47,445.09,2513.86,3122.33,3567.42,954.85,897.27,527.14,431.71,1852.12,2379.26,2810.97,1595.19,1738.32,783.86,735.03,3333.52,4117.38,4852.41,1557.62,1518.36,821.10,550.34,3075.99,3897.09,4447.43,1360.09,1364.54,648.08,594.49,2724.63,3372.72,3967.21,1727.32,1743.24,796.94,536.33,3470.55,4267.50,4803.82,1374.57,1582.18,761.59,733.41,2956.75,3718.35,4451.76,1806.95,1419.17,724.06,726.61,3226.11,3950.17,4676.79,2361.45,2037.82,845.02,774.31,4399.27,5244.29,6018.60,2514.61,2851.77,1308.87,735.63,5366.38,6675.25,7410.88,2449.57,2638.69,1091.76,909.31,5088.26,6180.03,7089.34,2543.27,2748.40,875.18,966.65,5291.68,6166.85,7133.50,3276.96,3018.90,1162.26,881.55,6295.86,7458.12,8339.67,2756.48,3720.08,1519.80,1221.45,6476.56,7996.36,9217.80,3979.89,4101.43,1474.16,987.78,8081.32,9555.48,10543.27,2761.37,3687.30,1419.48,1052.77,6448.67,7868.16,8920.92,3608.59,3474.05,1390.10,1153.45,7082.65,8472.75,9626.20,3252.06,.,.,.,.,.,.
Current Prices,..Coffee,912.76,257.69,331.02,824.65,1170.45,1501.47,2326.12,718.07,208.78,263.25,736.13,926.84,1190.10,1926.23,571.79,204.44,247.65,912.83,776.24,1023.88,1936.71,799.42,265.28,289.78,1047.23,1064.70,1354.48,2401.71,871.55,234.92,269.64,1019.53,1106.46,1376.10,2395.64,861.09,342.81,318.98,1277.79,1203.90,1522.88,2800.67,1021.14,365.43,272.75,1313.26,1386.56,1659.31,2972.57,1163.29,426.78,361.24,1346.26,1590.07,1951.31,3297.57,1352.23,465.01,384.83,1528.31,1817.24,2202.07,3730.38,1316.49,408.84,316.72,1311.32,1725.33,2042.04,3353.36,1201.83,387.79,317.29,1431.88,1589.62,1906.91,3338.78,1309.35,487.73,339.29,1578.07,1797.07,2136.36,3714.43,1338.80,457.69,347.94,1549.09,1796.49,2144.43,3693.52,1248.82,449.69,296.59,1361.95,1698.51,1995.10,3357.05,1242.08,510.09,261.67,1457.49,1752.18,2013.84,3471.33,1181.21,445.62,284.08,1662.32,1626.83,1910.91,3573.24,1135.22,353.46,294.34,1645.96,1488.68,1783.02,3428.98,1196.30,368.19,328.59,1585.85,1564.49,1893.08,3478.93,1047.89,385.59,300.35,1545.85,1433.48,1733.82,3279.67,902.67,341.73,289.95,1499.95,1244.39,1534.35,3034.29,898.05,297.84,267.16,1458.63,1195.89,1463.04,2921.68,926.70,296.42,279.14,1455.98,1223.12,1502.27,2958.25,1015.32,360.55,315.72,1676.91,1375.88,1691.59,3368.50,1274.90,426.31,437.93,2173.39,1701.21,2139.14,4312.53,1812.76,483.94,481.57,3319.13,2296.70,2778.27,6097.40,4478.86,953.68,810.74,4838.28,5432.54,6243.28,11081.56,3717.45,.,.,.,.,.,.
Current Prices,..Tobacco,684.70,1282.60,102.16,98.81,1967.30,2069.46,2168.27,558.54,1280.93,38.62,24.41,1839.47,1878.09,1902.49,760.47,1634.62,44.26,77.04,2395.10,2439.36,2516.40,644.69,1536.07,66.72,80.92,2180.75,2247.47,2328.40,596.29,1382.58,53.49,63.36,1978.87,2032.36,2095.72,645.51,1526.22,55.07,60.60,2171.73,2226.79,2287.39,617.04,1149.95,35.07,39.23,1766.99,1802.06,1841.29,755.62,1110.57,29.40,48.68,1866.19,1895.59,1944.27,569.33,1923.44,35.53,55.88,2492.77,2528.30,2584.18,614.67,1719.14,62.20,50.89,2333.81,2396.02,2446.91,736.40,1741.35,24.45,41.10,2477.75,2502.20,2543.30,754.14,2183.92,25.59,43.76,2938.06,2963.65,3007.42,758.99,2438.61,108.20,176.14,3197.60,3305.80,3481.94,797.94,2845.42,105.82,80.58,3643.36,3749.18,3829.76,809.61,3348.93,96.25,87.82,4158.54,4254.79,4342.61,813.32,2678.98,115.52,124.75,3492.31,3607.83,3732.57,875.41,2790.01,150.04,98.91,3665.42,3815.46,3914.37,946.41,2438.56,301.11,114.12,3384.97,3686.08,3800.20,1034.45,2489.15,280.12,250.14,3523.60,3803.71,4053.85,983.84,3971.32,437.08,247.15,4955.16,5392.24,5639.39,1061.78,3991.91,384.51,752.63,5053.69,5438.19,6190.82,993.07,3888.80,366.47,459.78,4881.87,5248.34,5708.12,732.60,3303.74,370.52,476.71,4036.34,4406.87,4883.58,832.52,4477.12,1188.73,2664.36,5309.64,6498.37,9162.74,1148.47,4646.58,636.80,2333.69,5795.06,6431.86,8765.55,2579.57,3818.85,541.59,1386.59,6398.42,6940.01,8326.60,2891.68,.,.,.,.,.,.
Current Prices,..Abaca,382.73,414.79,397.36,246.66,797.52,1194.88,1441.54,274.89,309.85,286.17,229.15,584.74,870.91,1100.06,277.72,277.06,250.68,272.77,554.78,805.46,1078.23,312.54,383.20,369.22,309.12,695.74,1064.96,1374.08,373.26,432.39,508.19,588.59,805.65,1313.84,1902.43,660.55,583.84,581.42,596.59,1244.39,1825.80,2422.40,615.80,672.00,541.92,600.28,1287.80,1829.72,2430.01,557.04,610.46,514.34,584.70,1167.50,1681.84,2266.55,638.64,869.86,769.33,733.27,1508.50,2277.83,3011.10,765.86,610.91,534.36,451.93,1376.77,1911.13,2363.06,556.56,663.00,565.06,513.94,1219.56,1784.62,2298.56,616.27,801.51,688.00,600.77,1417.78,2105.77,2706.55,722.75,759.69,687.79,540.24,1482.45,2170.24,2710.48,579.38,701.30,634.41,530.20,1280.68,1915.10,2445.30,648.36,811.11,757.40,731.09,1459.47,2216.86,2947.95,688.08,878.91,869.07,880.08,1566.99,2436.06,3316.14,866.94,1155.80,1114.82,1095.69,2022.74,3137.56,4233.25,920.01,1207.23,1165.29,1120.51,2127.24,3292.52,4413.03,1039.98,1268.67,1340.25,1333.93,2308.65,3648.90,4982.82,991.16,1185.45,1270.10,1085.50,2176.60,3446.70,4532.20,940.17,1150.85,1268.55,1112.08,2091.02,3359.58,4471.66,815.15,1133.36,1014.55,993.06,1948.51,2963.05,3956.12,975.51,1185.19,1256.87,1041.89,2160.70,3417.57,4459.46,914.28,1048.01,1050.59,987.82,1962.30,3012.88,4000.70,1037.64,960.98,1208.51,979.40,1998.63,3207.14,4186.53,831.08,769.14,1049.69,1016.86,1600.22,2649.91,3666.77,685.23,.,.,.,.,.,.
Current Prices,..Tomato,553.02,276.89,98.70,188.29,829.92,928.62,1116.91,675.33,540.23,108.03,361.15,1215.57,1323.59,1684.75,372.18,295.13,161.80,281.81,667.32,829.12,1110.93,635.60,645.40,199.55,386.89,1281.00,1480.55,1867.43,372.47,681.53,207.29,274.83,1054.00,1261.29,1536.12,705.48,420.15,313.83,368.63,1125.64,1439.47,1808.09,714.44,903.76,154.02,373.15,1618.20,1772.22,2145.37,546.34,997.99,249.23,346.24,1544.34,1793.56,2139.80,941.73,903.06,297.69,393.00,1844.79,2142.48,2535.48,544.33,1105.10,303.17,444.56,1649.43,1952.59,2397.15,454.78,808.99,516.47,369.73,1263.76,1780.24,2149.97,1212.91,669.20,371.97,481.92,1882.11,2254.08,2735.99,869.84,1389.58,283.15,282.05,2259.42,2542.58,2824.62,889.63,1235.14,510.80,349.60,2124.77,2635.57,2985.16,811.51,779.16,415.40,432.89,1590.67,2006.08,2438.97,921.94,963.89,305.55,698.38,1885.83,2191.38,2889.75,1271.90,1044.17,420.90,573.48,2316.07,2736.96,3310.44,1377.97,1038.37,533.78,628.17,2416.35,2950.13,3578.30,1315.00,1405.99,658.55,480.98,2720.99,3379.54,3860.52,2020.90,1930.93,807.45,715.92,3951.83,4759.28,5475.20,2126.13,1650.94,726.92,1210.73,3777.07,4503.99,5714.71,2943.18,1568.39,937.39,705.10,4511.57,5448.96,6154.06,2916.77,2671.03,865.37,986.47,5587.81,6453.18,7439.65,2634.45,1745.30,1438.52,1022.64,4379.75,5818.27,6840.91,3595.96,2659.06,1421.41,1457.96,6255.02,7676.43,9134.39,4072.10,2358.31,1411.16,1535.04,6430.41,7841.58,9376.62,4497.07,.,.,.,.,.,.
Current Prices,..Potato,226.01,138.64,209.73,343.33,364.66,574.39,917.72,369.04,201.84,182.66,332.38,570.89,753.54,1085.93,231.21,167.64,170.37,242.48,398.85,569.22,811.71,243.28,173.37,146.96,374.40,416.65,563.61,938.00,308.50,172.74,276.20,529.92,481.24,757.43,1287.35,226.31,158.95,174.34,380.57,385.25,559.59,940.15,384.66,187.25,244.51,639.82,571.91,816.42,1456.24,432.17,192.13,286.47,1540.47,624.30,910.77,2451.24,463.31,196.05,452.07,2159.23,659.36,1111.43,3270.65,392.49,290.67,550.24,2766.65,683.16,1233.40,4000.05,383.08,354.15,464.46,2024.58,737.23,1201.69,3226.27,771.73,205.71,361.46,2220.98,977.43,1338.90,3559.88,418.48,219.22,643.64,2003.63,637.70,1281.34,3284.97,616.27,423.21,533.14,2155.30,1039.47,1572.61,3727.91,840.96,273.59,484.69,1745.76,1114.55,1599.24,3345.00,415.11,231.35,408.56,1775.37,646.46,1055.02,2830.39,704.93,372.18,654.45,3429.69,1077.11,1731.55,5161.24,609.48,384.12,608.06,1976.80,993.60,1601.66,3578.45,767.26,311.32,511.84,2640.73,1078.58,1590.41,4231.14,625.82,365.05,553.11,2418.42,990.87,1543.98,3962.40,962.95,555.64,584.34,2472.73,1518.59,2102.93,4575.66,774.00,420.73,447.29,2480.39,1194.73,1642.02,4122.40,714.12,542.12,566.25,3243.35,1256.25,1822.50,5065.85,1180.45,815.41,718.53,4630.24,1995.86,2714.39,7344.63,992.07,968.36,735.00,2774.71,1960.43,2695.43,5470.14,694.79,319.40,969.79,3522.86,1014.19,1983.97,5506.83,658.90,.,.,.,.,.,.
Current Prices,..Ampalaya,147.17,224.84,129.70,189.58,372.01,501.71,691.29,137.25,217.62,138.06,161.54,354.87,492.93,654.47,160.24,283.55,193.06,188.89,443.79,636.85,825.74,282.63,496.38,271.12,331.28,779.01,1050.13,1381.41,317.85,520.03,300.23,377.52,837.88,1138.11,1515.63,320.52,449.51,332.95,452.64,770.04,1102.99,1555.63,402.24,580.30,393.09,443.08,982.54,1375.63,1818.71,318.84,556.44,361.44,543.98,875.28,1236.72,1780.70,441.16,746.36,516.67,583.04,1187.52,1704.19,2287.23,412.90,714.34,487.12,633.26,1127.24,1614.36,2247.62,350.98,583.81,413.12,493.21,934.79,1347.92,1841.12,447.42,754.50,575.06,588.94,1201.92,1776.98,2365.93,444.14,712.39,661.15,526.71,1156.53,1817.68,2344.38,515.05,723.97,576.18,609.33,1239.02,1815.20,2424.53,484.08,637.75,615.50,492.61,1121.83,1737.33,2229.94,503.52,823.55,676.24,693.22,1327.07,2003.31,2696.54,511.58,857.89,657.11,804.53,1369.47,2026.59,2831.11,608.14,763.56,655.01,771.59,1371.70,2026.71,2798.29,708.51,988.78,913.52,696.45,1697.29,2610.81,3307.26,772.02,1252.16,815.24,851.99,2024.18,2839.41,3691.41,774.89,1243.44,701.06,938.97,2018.33,2719.38,3658.36,914.38,1214.76,853.29,830.12,2129.13,2982.42,3812.55,932.87,1501.03,880.24,943.97,2433.90,3314.14,4258.10,1061.72,1395.15,881.07,839.09,2456.87,3337.94,4177.03,923.37,1539.79,858.19,926.86,2463.16,3321.35,4248.21,969.46,1864.83,1159.36,1115.36,2834.30,3993.66,5109.02,1248.29,.,.,.,.,.,.
Current Prices,..Cabbage,172.33,117.88,113.34,357.38,290.21,403.55,760.92,146.44,93.94,121.18,189.99,240.38,361.56,551.55,150.99,125.43,204.26,252.78,276.42,480.68,733.46,121.09,198.14,162.59,292.16,319.23,481.83,773.99,179.47,139.83,184.49,282.71,319.31,503.80,786.51,230.85,114.10,113.53,466.27,344.95,458.49,924.76,244.28,232.82,260.98,343.30,477.10,738.08,1081.38,212.92,117.62,126.97,982.93,330.54,457.50,1440.43,163.55,196.11,259.98,730.81,359.67,619.65,1350.45,258.41,232.70,223.66,1275.69,491.11,714.76,1990.45,183.93,186.04,166.05,479.04,369.97,536.02,1015.06,348.80,185.49,348.63,1368.22,534.29,882.93,2251.15,218.78,229.43,411.69,795.48,448.21,859.90,1655.38,495.61,419.71,178.35,747.31,915.31,1093.66,1840.97,385.38,334.82,363.72,860.33,720.21,1083.92,1944.26,344.42,322.65,517.74,1378.81,667.06,1184.80,2563.62,620.30,425.01,238.71,1322.79,1045.32,1284.03,2606.82,517.36,277.95,486.48,852.49,795.31,1281.79,2134.29,582.09,486.89,617.39,1246.57,1068.98,1686.36,2932.93,468.99,501.31,241.65,1070.25,970.31,1211.96,2282.21,627.50,668.70,264.40,2079.80,1296.20,1560.60,3640.40,1022.59,457.98,467.57,1794.14,1480.57,1948.14,3742.28,618.25,579.54,305.11,2013.37,1197.79,1502.89,3516.27,787.84,560.66,401.14,1989.56,1348.49,1749.63,3739.18,858.09,740.26,483.42,2525.83,1598.35,2081.76,4607.59,713.39,931.42,508.37,1948.40,1644.81,2153.18,4101.59,463.74,.,.,.,.,.,.
Current Prices,..Calamansi,270.62,275.07,748.76,454.06,545.69,1294.45,1748.51,222.70,207.04,514.06,297.82,429.75,943.81,1241.62,428.34,542.89,510.46,389.02,971.23,1481.69,1870.71,229.82,217.03,615.30,371.74,446.85,1062.15,1433.89,311.10,345.84,641.82,409.17,656.93,1298.76,1707.93,380.62,466.35,754.38,441.40,846.97,1601.35,2042.75,516.32,527.50,563.47,480.55,1043.82,1607.29,2087.85,358.57,424.84,583.70,390.10,783.41,1367.12,1757.21,404.14,522.36,560.77,431.18,926.50,1487.27,1918.45,429.03,724.43,1485.65,754.52,1153.46,2639.11,3393.63,409.15,416.72,1147.05,561.51,825.86,1972.91,2534.42,407.38,590.63,2482.81,926.45,998.01,3480.83,4407.28,474.32,599.96,1075.96,748.62,1074.29,2150.25,2898.87,458.68,381.59,1025.90,574.31,840.27,1866.17,2440.48,485.27,635.44,1367.03,402.00,1120.72,2487.74,2889.74,328.02,537.03,1242.40,420.61,865.04,2107.44,2528.05,412.03,473.70,668.69,447.19,885.74,1554.42,2001.61,388.96,477.01,656.46,400.00,865.97,1522.43,1922.43,472.40,484.39,882.81,615.17,956.80,1839.61,2454.78,390.14,639.07,1631.78,703.87,1029.21,2660.99,3364.86,371.83,438.07,1300.61,641.59,809.90,2110.51,2752.10,452.85,453.75,1739.26,727.73,906.60,2645.85,3373.58,504.64,528.14,1906.43,918.39,1032.78,2939.21,3857.61,494.38,610.63,1602.28,798.15,1105.02,2707.29,3505.44,520.84,758.14,2998.37,972.04,1278.98,4277.35,5249.39,534.41,773.82,2022.90,950.93,1308.22,3331.12,4282.05,658.26,.,.,.,.,.,.
Current Prices,..Mongo,200.17,325.46,44.35,132.90,525.63,569.98,702.88,207.93,344.95,41.30,135.26,552.88,594.17,729.43,242.44,355.80,43.56,119.88,598.24,641.80,761.68,184.78,295.08,39.20,102.18,479.86,519.06,621.24,184.29,319.84,28.30,114.49,504.14,532.44,646.92,198.29,386.08,35.25,127.87,584.36,619.61,747.48,234.97,417.17,42.16,138.12,652.14,694.30,832.42,295.71,552.97,38.87,120.52,848.68,887.55,1008.07,306.79,576.58,44.97,130.28,883.37,928.34,1058.62,319.70,554.94,41.05,121.37,874.64,915.69,1037.06,390.11,861.08,63.67,158.20,1251.20,1314.86,1473.06,391.54,1147.55,66.94,165.73,1539.09,1606.03,1771.76,358.66,928.64,46.43,152.54,1287.31,1333.74,1486.28,334.96,868.53,51.19,146.29,1203.49,1254.68,1400.97,368.42,1014.73,63.13,159.99,1383.15,1446.28,1606.27,422.71,1058.72,64.17,162.96,1481.43,1545.60,1708.56,378.09,973.13,78.37,179.83,1351.21,1429.58,1609.42,397.72,1147.37,79.50,164.37,1545.09,1624.59,1788.96,458.13,1342.10,72.16,173.39,1800.23,1872.39,2045.78,489.57,1375.03,93.17,206.92,1864.60,1957.76,2164.69,528.24,1431.01,91.54,197.17,1959.25,2050.79,2247.96,601.38,1363.94,90.50,217.29,1965.33,2055.83,2273.11,628.97,1414.13,90.21,213.23,2043.10,2133.31,2346.54,670.82,1498.32,76.92,231.71,2169.14,2246.06,2477.78,618.36,1592.92,70.61,109.70,2211.28,2281.89,2391.59,695.57,1251.80,95.21,130.27,1947.37,2042.58,2172.85,964.08,.,.,.,.,.,.
Current Prices,..Cacao,49.24,47.80,39.91,45.60,97.04,136.96,182.55,39.44,43.50,41.27,44.58,82.94,124.21,168.78,50.02,51.29,49.80,90.74,101.30,151.10,241.84,98.69,88.01,78.36,78.89,186.70,265.06,343.95,73.85,76.49,77.47,85.11,150.34,227.81,312.92,75.46,76.16,83.90,89.14,151.62,235.52,324.66,86.32,80.42,81.03,71.62,166.74,247.77,319.38,77.52,76.20,71.81,73.01,153.72,225.54,298.55,80.45,77.57,76.58,72.91,158.02,234.61,307.52,78.08,62.46,67.26,70.53,140.54,207.80,278.33,80.85,77.82,90.06,102.24,158.67,248.73,350.98,114.49,108.66,105.99,101.82,223.15,329.14,430.96,95.58,94.59,83.69,80.26,190.16,273.86,354.11,70.85,75.44,77.95,84.97,146.30,224.24,309.21,89.59,115.54,124.99,138.17,205.13,330.11,468.28,124.35,124.64,147.85,156.00,248.99,396.84,552.84,126.21,145.22,173.20,204.24,271.44,444.63,648.87,112.70,139.32,151.64,183.65,252.02,403.66,587.31,132.80,151.27,167.63,201.97,284.07,451.70,653.67,164.80,178.66,202.07,257.51,343.46,545.54,803.04,199.98,202.31,238.98,271.98,402.28,641.26,913.24,210.98,204.28,228.36,279.89,415.26,643.63,923.52,228.10,200.30,243.53,331.97,428.41,671.94,1003.91,252.09,255.65,320.84,383.60,507.74,828.58,1212.18,245.71,338.09,448.09,747.59,583.80,1031.90,1779.49,751.61,692.63,602.68,838.09,1444.24,2046.92,2885.01,502.40,.,.,.,.,.,.
Current Prices,..Other Crops,6692.48,5696.94,11054.48,8870.22,12389.41,23443.90,32314.12,6227.40,9014.45,7637.17,7366.87,15241.85,22879.02,30245.90,7489.58,6677.10,6736.71,5577.46,14166.67,20903.38,26480.84,6829.73,6165.88,6093.78,6509.73,12995.61,19089.40,25599.13,6798.66,6520.07,8057.41,7636.05,13318.74,21376.15,29012.20,7823.66,6731.52,6468.42,7912.96,14555.18,21023.60,28936.57,8539.22,6723.92,7560.64,8227.56,15263.13,22823.78,31051.34,8403.81,7289.34,6424.36,10699.49,15693.15,22117.51,32817.00,8729.49,8946.48,7160.64,9042.79,17675.97,24836.61,33879.41,9130.83,8544.61,7009.29,11439.66,17675.44,24684.73,36124.40,9380.47,8978.03,7602.56,9698.16,18358.50,25961.06,35659.22,10997.53,10056.44,7712.80,11615.35,21053.97,28766.76,40382.11,11178.89,9848.98,8608.23,9885.33,21027.87,29636.10,39521.43,10957.13,9547.10,7736.91,11643.71,20504.22,28241.14,39884.84,12348.06,11609.40,8326.75,11678.43,23957.46,32284.21,43962.64,12760.36,11902.50,9829.84,12787.24,24662.86,34492.70,47279.94,11678.89,12272.28,9040.70,14058.13,23951.17,32991.86,47050.00,12998.12,12067.56,8899.46,13086.78,25065.67,33965.13,47051.91,14168.04,14297.72,11460.31,12845.31,28465.76,39926.08,52771.38,14133.53,16604.66,11622.51,14191.50,30738.19,42360.70,56552.20,15059.63,17020.64,11791.71,20396.18,32080.27,43871.98,64268.16,17834.26,17537.18,12759.60,16646.68,35371.44,48131.04,64777.73,17127.76,16450.27,13670.36,17646.34,33578.03,47248.39,64894.72,18972.20,17483.95,14734.60,18455.75,36456.15,51190.75,69646.50,20153.50,20520.43,20382.62,21650.60,40673.93,61056.55,82707.15,22597.79,21000.54,18394.25,25478.21,43598.33,61992.59,87470.80,27330.83,.,.,.,.,.,.
