Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual
..Mullet (Ludong),....Laguna,..,..,..,..,..,..,9.00,..,..,9.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Quezon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08,0.14,..,..,0.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,..,..,..,..
..Mullet (Ludong),....Rizal,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),..MIMAROPA Region,..,..,..,..,..,..,..,..,..,..,..,..,0.07,0.05,0.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.29,0.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Marinduque,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Occidental Mindoro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Oriental Mindoro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Palawan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.29,0.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Romblon,..,..,..,..,..,..,..,..,..,..,..,..,0.07,0.05,0.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),..Region V (Bicol Region),..,..,..,..,..,..,..,..,..,..,..,..,..,0.40,0.40,..,..,..,..,..,..,..,..,..,..,..,0.21,0.10,0.43,0.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,1.72,0.37,0.39,0.30,..,1.06,0.04,0.14,0.47,..,0.65,3.13,8.51,..,..,..
..Mullet (Ludong),....Albay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Camarines Norte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,1.72,0.37,..,..,..,0.37,0.04,..,0.22,..,0.26,0.40,..,..,..,..
..Mullet (Ludong),....Camarines Sur,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Catanduanes,..,..,..,..,..,..,..,..,..,..,..,..,..,0.40,0.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,0.30,..,0.58,..,0.14,0.25,..,0.39,0.19,8.51,..,..,..
..Mullet (Ludong),....Masbate,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Sorsogon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21,0.10,0.43,0.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.11,..,..,0.11,..,..,..,..,..,2.54,..,..,..,..
..Mullet (Ludong),..Region VI (Western Visayas),1.00,1.00,2.00,2.00,6.00,2.00,1.00,3.00,11.00,17.00,0.05,0.02,0.30,1.10,1.47,0.20,0.05,0.35,1.05,1.65,0.60,1.10,1.20,2.03,4.93,2.20,1.50,1.18,1.47,6.35,2.60,2.00,2.38,3.12,10.10,2.96,..,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.50,..,..,..,12.50,..,..,1.65,..,1.65,..,50.58,..,..,50.58,..,..,..,..,..,..,4.41,15.43,..,19.84,13.54,4.76,1.07,3.78,23.15,8.02,8.17,16.46,20.61,53.26,52.21,3.07,..,..,..
..Mullet (Ludong),....Aklan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.35,2.35,3.88,5.10,5.41,3.67,18.06,0.60,0.47,..,..,..
..Mullet (Ludong),....Antique,..,..,..,..,..,..,..,..,..,..,..,..,0.20,1.00,1.20,0.10,..,0.15,0.85,1.10,0.50,0.60,0.70,1.03,2.83,2.00,1.00,0.68,0.87,4.55,2.10,1.25,1.73,2.25,7.33,2.96,..,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13,..,..,..
..Mullet (Ludong),....Capiz,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.37,..,..,..,..
..Mullet (Ludong),....Guimaras,..,..,..,..,..,..,..,..,..,..,0.05,0.02,0.10,0.10,0.27,0.10,0.05,0.20,0.20,0.55,0.10,0.50,0.50,1.00,2.10,0.20,0.50,0.50,0.60,1.80,0.50,0.75,0.65,0.87,2.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.55,..,0.55,1.20,3.38,0.79,0.70,6.07,4.14,3.07,1.68,2.68,11.57,3.50,0.38,..,..,..
..Mullet (Ludong),....Iloilo,1.00,1.00,2.00,2.00,6.00,2.00,1.00,3.00,11.00,17.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.65,..,1.65,..,50.58,..,..,50.58,..,..,..,..,..,..,4.41,14.88,..,19.29,12.34,1.38,0.28,..,14.00,..,..,9.37,14.26,23.63,0.07,..,..,..,..
..Mullet (Ludong),....Negros Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.50,..,..,..,12.50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.73,0.73,..,..,..,..,..,22.67,2.09,..,..,..
..Mullet (Ludong),..Region VII (Central Visayas),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00,..,1.70,1.60,4.30,0.80,..,0.16,0.10,1.06,0.20,0.20,0.18,0.10,0.68,0.10,0.18,..,..,0.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,0.08,..,..,..
..Mullet (Ludong),....Bohol,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,0.02,..,..,..
..Mullet (Ludong),....Cebu,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Negros Oriental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.00,..,1.70,1.60,4.30,0.80,..,0.16,0.10,1.06,0.20,0.20,0.18,0.10,0.68,0.10,0.18,..,..,0.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06,..,..,..
..Mullet (Ludong),....Siquijor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),..Region VIII (Eastern Visayas),..,..,2.00,..,2.00,..,..,..,1.00,1.00,3.18,4.00,5.25,6.00,18.43,8.45,355.75,3.50,6.00,373.70,10.60,14.00,12.20,13.50,50.30,11.90,15.50,12.55,13.70,53.65,11.45,12.80,13.01,13.15,50.41,10.98,8.59,6.07,15.13,40.77,14.36,13.13,9.22,18.39,55.10,12.31,12.36,8.03,13.04,45.74,8.07,11.71,7.64,11.51,38.93,7.50,9.94,7.41,7.65,32.50,7.02,8.66,7.04,7.05,29.77,6.11,6.30,6.66,7.01,26.08,4.22,5.75,4.57,7.35,21.89,3.41,4.22,4.41,5.35,17.39,3.17,4.74,5.73,5.69,19.33,2.81,1.57,0.33,0.93,5.64,3.59,0.70,0.36,1.16,5.81,4.77,5.40,..,..,..
..Mullet (Ludong),....Biliran,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Eastern Samar,..,..,..,..,..,..,..,..,..,..,..,2.00,3.00,4.00,9.00,5.00,6.00,..,..,11.00,7.00,8.00,8.20,9.00,32.20,7.40,8.50,9.30,9.15,34.35,7.20,9.30,9.35,9.18,35.03,7.23,6.80,1.02,8.08,23.13,8.23,7.24,2.27,8.13,25.87,6.90,6.95,2.50,7.50,23.85,2.81,6.45,2.10,6.25,17.61,2.47,4.53,1.50,2.03,10.53,2.18,3.85,1.57,1.14,8.74,1.66,1.91,1.87,0.79,6.23,0.34,1.92,0.33,1.54,4.13,0.26,0.95,0.14,0.50,1.85,..,2.47,0.85,0.50,3.82,1.05,0.52,0.33,0.93,2.83,3.59,0.66,0.27,1.13,5.65,4.77,4.06,..,..,..
..Mullet (Ludong),....Leyte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,0.09,..,0.13,..,0.15,..,..,..
..Mullet (Ludong),....Northern Samar,..,..,..,..,..,..,..,..,1.00,1.00,3.00,2.00,2.00,2.00,9.00,3.20,2.05,3.50,6.00,14.75,3.30,4.00,3.00,3.00,13.30,3.50,4.00,3.25,3.25,14.00,3.25,3.50,3.66,2.89,13.30,3.00,1.39,4.75,5.49,14.63,5.58,5.39,6.55,10.26,27.78,5.41,5.41,5.53,5.54,21.89,5.26,5.26,5.54,5.26,21.32,5.03,5.41,5.91,5.62,21.97,4.84,4.81,5.47,5.91,21.03,4.45,4.39,4.79,6.22,19.85,3.88,3.83,4.16,5.74,17.61,3.07,3.07,4.27,4.45,14.86,3.14,2.16,4.88,5.19,15.37,1.76,1.05,..,..,2.81,..,..,..,..,..,..,1.18,..,..,..
..Mullet (Ludong),....Samar,..,..,1.00,..,1.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.81,0.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,..,..,..
..Mullet (Ludong),....Southern Leyte,..,..,1.00,..,1.00,..,..,..,..,..,0.18,..,0.25,..,0.43,0.25,347.70,..,..,347.95,0.30,2.00,1.00,1.50,4.80,1.00,3.00,..,1.30,5.30,1.00,..,..,1.08,2.08,0.75,0.40,0.30,0.75,2.20,0.55,0.50,0.40,..,1.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08,0.07,0.15,0.08,0.20,..,0.40,0.68,0.03,0.11,..,..,0.14,..,..,..,..,..,..,..,..,0.03,0.03,..,..,..,..,..
..Mullet (Ludong),..Region IX (Zamboanga Peninsula),..,..,1.00,..,1.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.20,..,2.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.58,..,12.58,2.14,..,..,..,..
..Mullet (Ludong),....Zamboanga del Norte,..,..,1.00,..,1.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Zamboanga del Sur,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.58,..,12.58,2.14,..,..,..,..
..Mullet (Ludong),....Zamboanga Sibugay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.20,..,2.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....City of Zamboanga,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),..Region X (Nothern Mindanao),..,..,..,..,..,..,..,..,..,..,..,..,0.02,0.01,0.03,..,..,0.02,0.16,0.18,0.09,0.12,0.17,0.25,0.63,..,..,..,..,..,..,..,0.44,0.20,0.64,0.41,0.42,0.76,0.52,2.11,2.31,1.46,1.52,0.24,5.53,1.50,0.12,0.20,2.73,4.55,2.08,0.16,0.32,0.64,3.20,0.08,0.24,0.04,1.90,2.26,0.76,0.76,0.92,0.28,2.72,1.04,..,0.32,0.32,1.68,0.24,0.52,0.50,0.39,1.65,..,..,..,0.16,0.16,..,..,..,0.19,0.19,..,..,..,0.50,0.50,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Bukidnon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Camiguin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Lanao del Norte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Misamis Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.02,0.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Misamis Oriental,..,..,..,..,..,..,..,..,..,..,..,..,0.02,0.01,0.03,..,..,0.02,0.14,0.16,0.09,0.12,0.17,0.25,0.63,..,..,..,..,..,..,..,0.44,0.20,0.64,0.41,0.42,0.76,0.52,2.11,2.31,1.46,1.52,0.24,5.53,1.50,0.12,0.20,2.73,4.55,2.08,0.16,0.32,0.64,3.20,0.08,0.24,0.04,1.90,2.26,0.76,0.76,0.92,0.28,2.72,1.04,..,0.32,0.32,1.68,0.24,0.52,0.50,0.39,1.65,..,..,..,0.16,0.16,..,..,..,0.19,0.19,..,..,..,0.50,0.50,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),..Region XI (Davao Region),..,..,..,..,..,..,..,..,1.00,1.00,..,..,0.13,..,0.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,..,0.01,0.03,..,..,..,0.01,0.01,0.02,..,..,0.01,0.03,..,0.08,..,..,0.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.04,0.01,0.02,0.07,..,..,..,..,..
..Mullet (Ludong),....Davao de Oro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Davao del Norte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,..,0.01,0.03,..,..,..,0.01,0.01,0.02,..,..,0.01,0.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Davao del Sur,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Davao Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Mullet (Ludong),....Davao Oriental,..,..,..,..,..,..,..,..,1.00,1.00,..,..,0.13,..,0.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.08,..,..,0.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
